Nb_var,var_1,var_2,var_3,focus,flesh_int,skin_int,leaf_int,vime_int,back_leaf_int,Start,var_type_gov,var_type,Maturity,GPS.Latitude,GPS.Longitude,GPS.Altitude,GPS.Accuracy,skin_enu,flesh_enu,leaf_enu,vime_enu,back_leaf_enu,Pic_leaf,Sex,start,end,deviceid,ID,ID_plate,ID_lab_2,ID_lab,BinID,var_type_DNA,DNA_IV_match,PhenID_DNA,skin_DNA,flesh_DNA,leaf_DNA,leaf_DNA_b,vime_DNA,back_leaf_DNA,Maturity_DNA
one,,,,Fino,orange,white,hearthshapedtr,purple,purple,4,improved,traditional,5,NA,NA,1812.026928,4,white,orange,type_1__hearth,purple,purple,XXXXXXXX,1,Wed Jan 28 06:25:58 UTC 2015,Wed Jan 28 06:32:47 UTC 2015,6C:B7:F4:79:79:EF,7gt1,3,E5,245,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Fino,orange,white,with_5_nodes,green,purple,3,traditionnal,improved,3,NA,NA,1932.031581,4,white,orange,type_3__handsh,purple,purple,XXXXXXXX,1,Mon Jan 26 07:44:06 UTC 2015,Mon Jan 26 07:48:54 UTC 2015,6C:B7:F4:79:79:D9,5kb3,2,G9,177,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,orange,white,hearthshapedtr,green,green,7,improved,traditional,6,NA,NA,1892.137803,4,redpink,white,type_2__with_3,green,green,XXXXXXXX,1,Thu Jan 22 06:25:24 UTC 2015,Thu Jan 22 06:39:27 UTC 2015,6C:B7:F4:79:79:EF,1GT1,1,B11,23,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,white,redpink,type_1__hearth,green,green,4,traditionnal,improved,4,NA,NA,1901.334553,4,white,orange,type_1__hearth,green,green,XXXXXXXX,1,Thu Jan 22 08:32:20 UTC 2015,Thu Jan 22 08:39:14 UTC 2015,6C:B7:F4:79:79:D9,1KB6,1,D2,38,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,white,redpink,type_2__with_3,green,green,1,improved,improved,6,NA,NA,1911.273199,8,redpink,white,type_2__with_3,green,green,XXXXXXXX,1,Wed Jan 21 11:33:06 UTC 2015,Wed Jan 21 11:51:49 UTC 2015,6C:B7:F4:79:7A:25,0AT1,1,A1,1,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,white,redpink,type_1__hearth,green,purple,6,traditionnal,improved,5,NA,NA,1921.88873,4,redpink,white,type_1__hearth,green,green,XXXXXXXX,1,Wed Jan 21 09:32:50 UTC 2015,Wed Jan 21 12:15:13 UTC 2015,6C:B7:F4:79:79:EF,0GT1,1,A3,3,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,white,redpink,type_1__hearth,green,green,3,traditionnal,improved,6,NA,NA,1886.603622,4,redpink,white,type_2__with_3,green,green,XXXXXXXX,1,Thu Jan 22 07:17:25 UTC 2015,Thu Jan 22 07:21:37 UTC 2015,6C:B7:F4:79:7A:25,1AT5,1,A9,9,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,white,redpink,type_1__hearth,green,purple,1,improved,improved,5,NA,NA,1900.309281,4,redpink,white,type_2__with_3,green,green,XXXXXXXX,1,Thu Jan 22 07:28:43 UTC 2015,Thu Jan 22 07:36:00 UTC 2015,6C:B7:F4:79:7A:25,1AT6,1,A10,10,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,white,redpink,type_1__hearth,green,green,1,improved,improved,6,NA,NA,1879.972769,6,redpink,white,type_1__hearth,green,green,XXXXXXXX,1,Thu Jan 22 07:41:31 UTC 2015,Thu Jan 22 07:47:07 UTC 2015,6C:B7:F4:79:7A:25,1AT7,1,A11,11,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
one,,,,Gadisa,white,redpink,type_1__hearth,green,purple,8,improved,improved,5,NA,NA,1891.069173,4,redpink,white,type_1__hearth,green,green,XXXXXXXX,1,Thu Jan 22 07:59:10 UTC 2015,Thu Jan 22 08:04:26 UTC 2015,6C:B7:F4:79:7A:25,1AT8,1,A12,12,2,improved,Awassa-83,WR1GG,redpink,white,type_1__hearth,1,green,green,5-6 months
